tx_hash,tx_fee,tx_burnt_fee,tx_index,tx_nonce,timestamp,block_number,eth_price_usd,blob_gas_price,gas_price,gas_used,priority_fee,base_fee_per_gas,max_priority_fee_per_gas,max_fee_per_blob_gas,from_address,to_address,total_supply,token_ticker,token_amount
0xfd848f11c4e88ffd00835161f695b764bcce0eba309d1f53d1845dc0cc660040,493026723198888,471754723198888,55,16,2024-03-29T21:55:59.000000Z,19542458,3023.68,24208240824,23177262279,21272,21272000000000,22177262279,1000000000,64483001212,0x6383542136a406Cd86E708efA0f008BC4cf8336e,0xb1c2a6deA0b7cB6d2f3c3D4DEB186e0064152d67,4800,wgw,100
0x7f8bae8185f35dc3cfb31c43ed11b6ac0639471532e7c2113a89a675720ea743,548208306337992,526936306337992,1,17,2024-03-29T21:57:23.000000Z,19542465,3023.68,27234271276,25771357011,21272,21272000000000,24771357011,1000000000,64483001212,0x6383542136a406Cd86E708efA0f008BC4cf8336e,0xb1c2a6deA0b7cB6d2f3c3D4DEB186e0064152d67,4900,wgw,100
0xabf92ee19076e5d7673213c296e7056b83e00c330ab6e3839f2f4d845d6a8d28,556652282959888,535380282959888,77,18,2024-03-29T21:58:35.000000Z,19542471,3023.68,41944500754,26168309654,21272,21272000000000,25168309654,1000000000,64483001212,0x6383542136a406Cd86E708efA0f008BC4cf8336e,0xb1c2a6deA0b7cB6d2f3c3D4DEB186e0064152d67,5000,wgw,100
0x148c17d2137d110cdc55c7d32999a0c9a2f441caf1310461412de923ca95ac04,519056579875560,497784579875560,39,19,2024-03-29T21:59:59.000000Z,19542478,3023.68,45370829006,24400929855,21272,21272000000000,23400929855,1000000000,64483001212,0x6383542136a406Cd86E708efA0f008BC4cf8336e,0xb1c2a6deA0b7cB6d2f3c3D4DEB186e0064152d67,5100,wgw,100
0xddfbef1df98ba7dd34b53c9d96f38be5175af04444f18dd1e58f2bebec00faf1,543601978668664,522329978668664,69,20,2024-03-29T22:01:11.000000Z,19542484,3023.68,41944500754,25554812837,21272,21272000000000,24554812837,1000000000,64483001212,0x6383542136a406Cd86E708efA0f008BC4cf8336e,0xb1c2a6deA0b7cB6d2f3c3D4DEB186e0064152d67,5200,wgw,100
0x9437ca28c83d6d85b96d415bfef31115374279c0dcfa5bbe13e7adf594094440,503689574333960,482417574333960,39,42,2024-03-29T23:12:47.000000Z,19542839,3023.68,11481462691,23678524555,21272,21272000000000,22678524555,1000000000,73723165870,0x22EDfcbb0A53Cb64672C3A875A28338F2D89B0fb,0x8e0Ac58910038708577738b5B6E25a290ec099b0,5300,wgw,100
0x0d98939f93e8e77435bf953196f0f877018121215b5d3799514dfb83ff26d2a0,484478031817288,463206031817288,81,43,2024-03-29T23:13:59.000000Z,19542845,3023.68,9071772741,22775386979,21272,21272000000000,21775386979,1000000000,73723165870,0x22EDfcbb0A53Cb64672C3A875A28338F2D89B0fb,0x8e0Ac58910038708577738b5B6E25a290ec099b0,5400,wgw,100
0x5e0edaa169daa135d4b226ea431de94a27e6b75883a9e85cf932e8e728f25fbe,484478031817288,463206031817288,82,44,2024-03-29T23:13:59.000000Z,19542845,3023.68,9071772741,22775386979,21272,21272000000000,21775386979,1000000000,73723165870,0x22EDfcbb0A53Cb64672C3A875A28338F2D89B0fb,0x8e0Ac58910038708577738b5B6E25a290ec099b0,5500,wgw,100
0x39cd7db74754ad3c7df2d381c6a8070effa53b27339299f8a8f9df9d502cc39a,525228972159296,503956972159296,71,47,2024-03-29T23:14:23.000000Z,19542847,3023.68,9071772741,24691094968,21272,21272000000000,23691094968,1000000000,73723165870,0x22EDfcbb0A53Cb64672C3A875A28338F2D89B0fb,0x8e0Ac58910038708577738b5B6E25a290ec099b0,5600,wgw,100
0x3f2cf1f1e7cc5f0d82ae135f81bd2209c7dac1c057f863e1188c473f15e70937,525228972159296,503956972159296,70,46,2024-03-29T23:14:23.000000Z,19542847,3023.68,9071772741,24691094968,21272,21272000000000,23691094968,1000000000,73723165870,0x22EDfcbb0A53Cb64672C3A875A28338F2D89B0fb,0x8e0Ac58910038708577738b5B6E25a290ec099b0,5700,wgw,100
